"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C3";"C0402";2;"0402CG120J500NT";;;
2;"C1, C3";"C0402";2;"0402CG120F500NT";;;
3;"C2, C7, C7, C8, C8, C9";"C0402";6;"CL05A105KA5NQNC";;;
4;"C4, C6, C6, C9, C10, C13";"C0402";6;"CL05B104KB54PNC";;;
5;"C5, C5";"C0402";2;"ZRB15XR61A475KE01D";;;
6;"D1, D1";"DSN2_L1.0-W0.6-RD";2;"NSR05F20NXT5G";;;
7;"D2, D2, D3, D3, D4, D4, D5, D5, D6, D6, D7, D7, D8, D8, D9, D9, D10, D10, D11, D11, D12, D12, D13, D13, D14, D14, D15, D15, D16, D16, D17, D17, D18, D18, D19, D19, D20, D20";"X1-DFN1006-2_L1.0-W0.6-RD";38;"CDSQC4148-HF";;;
8;"F1, F1";"F1206";2;"SMD1206-150C-16V";;;
9;"Fi1, Fi2, Fi3, Fi6";"";4;"Fiducial_1mm_Mask2mm";;;
10;"H1, H1";"HDR-TH_3P-P2.54_HC-PM254-8.5H-1X3PW";2;"HC-PM254-8.5H-1X3PW";;;
11;"L1, L1";"IND-SMD_L2.0-W1.6_BRC2016";2;"BRC2016T100K";;;
12;"Q1, Q1";"SOT-323-3_L2.0-W1.3-P1.30-LS2.1-BR";2;"PMF170XP,115";;;
13;"Q2, Q2";"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR";2;"FS8205A_C2830320";;;
14;"R1, R1, R17, R17";"R0402";4;"0402WGF1004TCE";;;
15;"R2, R2";"R0402";2;"WR04W2494FTL";;;
16;"R3, R4, R5, R7, R8, R8, R12, R13, R13, R15, R18, R19";"R0402";12;"0402WGF1002TCE";;;
17;"R5, R7";"R0402";2;"RTT022614FTH";;;
18;"R6, R6";"R0402";2;"ERA2AED753X";;;
19;"R9, R9, R10, R10, R14, R14, R16, R16";"R0402";8;"0402WGF5101TCE";;;
20;"R11, R11";"R0402";2;"RC0402FR-07680RL";;;
21;"SW1, SW1";"SW-SMD_L3.9-W3.0-P4.45";2;"TS-1088-AR02016";;;
22;"U1, U1";"SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR";2;"SN74LVC1G17DBVR";;;
23;"U2, U2";"WIRELM-SMD_E73-2G4M08S1C";2;"E73-2G4M08S1C";;;
24;"U3, U10";"X2SON-8_L1.4-W1.0-P0.35-BL";2;"SN74LVC1G74DQER";;;
25;"U4, U4";"CONN-TH_S2B-PH-K-S-LF-SN";2;"S2B-PH-K-S(LF)(SN)";;;
26;"U5, U5";"ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP";2;"BL8573CS8TR";;;
27;"U6, U6";"SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL";2;"DW01A_C42380662";;;
28;"U7, U7";"VQFN-32_L4.0-W4.0-P0.40-TL-EP";2;"LP5024RSMR";;;
29;"U8, U8";"DFN-8_2x2mm_P0.5mm_EP1.2x0.8mm";2;"MAX17048";;;
30;"U9, U9";"SOT-23-6";2;"USBLC6-2SC6";;;
31;"USBC1, USBC1";"USB-C_SMD-TYPE-C-31-M-12_1";2;"TYPE-C-31-M-12";;;
32;"X1, X1";"OSC-SMD_L3.2-W1.5";2;"FC-13532.768KHZ9PF20PPM";;;
