Designator,Mid X,Mid Y,Rotation,Layer
C1_2,280.189318,-73.209056,270.0,top
C1,64.742299,-94.01065,90.0,top
C10,62.759583,-64.4154,0.0,top
C13,66.249583,-62.4054,0.0,top
C2,274.739318,-55.939056,90.0,top
C3_2,280.189318,-75.249056,90.0,top
C3,64.742299,-91.97065,270.0,top
C4,273.179318,-51.309056,270.0,top
C5_2,288.279318,-87.334053,270.0,top
C5,57.089583,-79.3954,0.0,top
C6_2,60.439583,-77.2154,180.0,top
C6,295.359318,-93.219056,0.0,top
C7_2,66.937301,-92.04815,180.0,top
C7,278.119318,-75.099056,0.0,top
C8_2,66.937301,-85.7354,180.0,top
C8,278.119318,-81.409056,0.0,top
C9_2,280.549318,-64.059056,0.0,top
C9,71.049583,-70.7854,270.0,top
D1_2,68.559583,-70.7354,90.0,top
D1,274.769318,-57.939056,90.0,top
D10_2,221.409284,-56.706456,270.0,top
D10,123.392299,-45.66565,90.0,top
D11_2,123.392299,-67.09565,90.0,top
D11,227.679284,-74.146006,0.0,top
D12_2,96.862923,-120.69065,90.0,top
D12,264.916284,-117.146006,0.0,top
D13_2,240.028284,-45.956456,270.0,top
D13,107.773299,-56.41565,270.0,top
D14_2,104.773299,-56.34565,90.0,top
D14,240.028284,-67.459056,270.0,top
D15_2,104.773299,-77.84565,90.0,top
D15,240.028284,-88.956456,270.0,top
D16_2,283.535284,-106.396006,0.0,top
D16,72.890112,-119.213725,270.0,top
D17_2,89.154299,-67.16565,270.0,top
D17,258.647284,-56.706456,270.0,top
D18_2,258.647202,-78.206456,270.0,top
D18,86.154299,-67.09565,90.0,top
D19_2,258.647284,-99.706456,270.0,top
D19,86.154299,-88.66565,90.0,top
D2_2,163.630299,-67.23565,270.0,top
D2,184.171284,-56.706456,270.0,top
D20_2,302.154284,-117.146006,0.0,top
D20,59.624923,-120.69065,90.0,top
D3_2,160.630299,-67.09565,90.0,top
D3,184.171284,-78.206456,270.0,top
D4_2,190.441284,-95.646006,0.0,top
D4,160.630299,-88.66565,90.0,top
D5_2,202.790284,-45.956456,270.0,top
D5,145.011299,-56.41565,270.0,top
D6_2,142.011299,-56.34565,90.0,top
D6,202.790284,-67.456456,270.0,top
D7_2,209.060284,-84.896006,0.0,top
D7,142.011299,-77.97065,90.0,top
D8_2,246.310584,-106.396006,0.0,top
D8,115.468623,-109.94065,270.0,top
D9_2,221.409284,-35.206456,270.0,top
D9,126.392299,-45.66565,270.0,top
F1_2,281.659602,-35.431206,270.0,top
F1,69.069583,-46.7754,0.0,top
FI1,304.5402,-45.969056,0.0,top
FI2,193.539318,-45.969056,0.0,top
FI3,304.5402,-110.386456,0.0,top
FI4,40.353499,-56.62325,0.0,top
FI5,169.353499,-56.62325,0.0,top
FI6,40.353499,-121.04065,0.0,top
H1_2,300.909318,-61.629056,270.0,top
H1,43.759583,-72.6154,90.0,top
L1_2,63.589583,-82.7454,0.0,top
L1,282.659318,-84.669056,180.0,top
Q1_2,277.981616,-52.566854,90.0,top
Q1,72.589583,-61.8454,90.0,top
Q2_2,70.399299,-56.3254,180.0,top
Q2,280.949318,-45.489056,180.0,top
R1_2,294.630518,-69.3609,90.0,top
R1,52.959583,-67.6854,0.0,top
R10_2,276.034318,-34.6587,270.0,top
R10,66.589583,-44.6954,270.0,top
R11_2,281.459318,-40.689056,270.0,top
R11,72.152267,-50.941606,270.0,top
R12,272.231918,-41.175,180.0,top
R13_2,272.231918,-39.855,180.0,top
R13,60.620713,-68.1154,270.0,top
R14_2,66.937301,-86.99795,180.0,top
R14,278.119318,-80.179056,0.0,top
R15,62.204583,-51.6004,180.0,top
R16_2,66.937301,-88.2605,180.0,top
R16,278.119318,-78.969056,0.0,top
R17_2,66.937301,-89.52305,180.0,top
R17,278.119318,-77.709056,0.0,top
R18,62.204583,-50.3504,180.0,top
R19,67.879583,-62.8854,270.0,top
R2_2,293.360518,-69.3609,90.0,top
R2,50.199583,-67.6854,0.0,top
R3,280.329318,-54.679056,180.0,top
R4,278.239318,-66.649056,90.0,top
R5_2,280.838318,-56.4577,270.0,top
R5,67.309583,-70.7854,90.0,top
R6_2,278.119318,-76.369056,0.0,top
R6,66.937301,-90.7856,180.0,top
R7_2,273.209318,-53.329056,270.0,top
R7,69.834583,-70.7854,90.0,top
R8_2,62.679583,-77.1654,180.0,top
R8,292.929318,-93.249056,0.0,top
R9_2,68.499583,-44.6854,270.0,top
R9,279.034318,-34.6587,270.0,top
SW1_2,63.438783,-79.4116,0.0,top
SW1,294.018548,-90.965756,0.0,top
U1_2,278.057318,-56.829056,180.0,top
U1,69.799583,-67.5354,90.0,top
U10,69.449583,-62.7504,90.0,top
U2_2,53.482299,-88.79065,270.0,top
U2,291.4114,-78.136456,90.0,top
U3,275.004318,-52.405456,90.0,top
U5_2,276.956918,-40.495,90.0,top
U5,67.489299,-50.8954,90.0,top
U6_2,276.154518,-45.487402,270.0,top
U6,64.579299,-56.3554,270.0,top
U7_2,71.329583,-87.6254,90.0,top
U7,273.726398,-78.293956,270.0,top
U8_2,62.350713,-66.7254,180.0,top
U8,280.110448,-66.279056,180.0,top
U9_2,285.099318,-31.984056,270.0,top
U9,59.429583,-63.3029,270.0,top
USBC1_2,277.3604,-28.736456,180.0,top
USBC1,67.489299,-39.41325,180.0,top
X1_2,62.842299,-92.89065,90.0,top
X1,282.089318,-74.329056,270.0,top
